QUESTIONS,POSSIBLE,ANSWER
"Joe, a security analyst, is asked by a co-worker, ""What is this AAA thing all about in the security world? Sounds like something I can use for my car."" Which of the following terms should Joe discuss in his response to his co-worker? (Select THREE).",A. Accounting B. Accountability C. Authorization D. Authentication E. Access F. Agreement,"A. Accounting, C. Authorization, D. Authentication"
A Chief Financial Officer (CFO) has been receiving email messages that have suspicious links embedded from unrecognized senders. The emails ask the recipient for identity verification. The IT department has not received reports of this happening to anyone else. Which of the following is the MOST likely explanation for this behavior?,A. The CFO is the target of a whaling attack. B. The CFO is the target of identity fraud. C. The CFO is receiving spam that got past the mail filters. D. The CFO is experiencing an impersonation attack.,A. The CFO is the target of a whaling attack.
A system administrator is configuring accounts on a newly established server. Which of the following characteristics BEST differentiates service accounts from other types of accounts?,A. They can often be restricted in privilege. B. They are meant for non-person entities. C. They require special permissions to OS files and folders. D. They remain disabled in operations. E. They do not allow passwords to be set.,B. They are meant for non-person entities.
Which of the following tools would be best suited for gathering information about a domain?,A. FTK imager B. dnsenum C. scanless D. Wireshark,B. dnsenum
"The IT department receives a call one morning about users being unable to access files on the network shared drives. An IT technician investigates and determines the files became encrypted at 12:00 a.m. While the files are being recovered from backups, one of the IT supervisors realizes the day is the birthday of a technician who was fired two months prior. Which of the following describes what MOST likely occurred?",A. The fired technician placed a logic bomb. B. The fired technician installed a rootkit on all the affected users' computers. C. The fired technician installed ransomware on the file server. D. The fired technician left a network worm on an old work computer.,A. The fired technician placed a logic bomb.
The process of presenting a user ID to a validating system is known as:,A. authorization B. authentication C. identification D. single sign-on,C. identification.
Which of the following tools hides attacker's identity by utilizing a proxy for port scanning?,A. tcpdump B. Cuckoo C. scanless D. dnsenum,C. scanless
Which of the following disaster recovery sites would require the MOST time to get operations back online?,A. Colocation B. Cold C. Hot D. Warm,B. Cold
An input field that is accepting more data than has been allocated for it in memory is an attribute of:,A. buffer overflow B. memory leak C. cross-site request forgery D. resource exhaustion,A. buffer overflow
Which of the following if used would BEST reduce the number of successful phishing attacks?,A. Two-factor authentication B. Application layer firewall C. Mantraps D. User training,D. User training
Which of the following terms is commonly used to describe an unsolicited advertising message?,A. Spyware B. Adware C. Malware D. Spam,D. Spam
"Which of the following answers refers to an advanced network exploration and penetration testing tool integrating functionalities from multiple other tools, such as ping, whois, or nmap?",A. sn1per B. dnsenum C. curl D. scanless,A. sn1per
What type of spam relies on text-based communication?,A. Vishing B. SPIM C. Bluesnarfing D. SPIT,D. SPIT
"A company recently experienced an attack during which its main website was Directed to the attacker’s web server, allowing the attacker to harvest credentials from unsuspecting customers. Which of the following should the company implement to prevent this type of attack from occurring In the future?",A. IPsec B. SSL/TLS C. ONSSEC D. SMIME,B. SSL/TLS
"A security manager needed to protect a high-security datacenter, so the manager installed an access control vestibule that can detect an employee's heartbeat, weight, and badge. Which of the following did the security manager implement?",A. A physical control B. A corrective control C. A compensating control D. A managerial control,A. A physical control
Which of the following answers refer to smishing? (Select 2 answers),A. Social engineering technique B. E-mail communication C. Spam over Internet Telephony (SPIT D. Text messaging E. Spam over Internet Messaging (SPIM),"A. Social engineering technique, D. Text messaging "
The practice of using a telephone system to manipulate user into disclosing confidential information is known as:,A. Whaling B. Spear phishing C. Vishing D. Pharming,C. Vishing
Which of the following answers refer to the characteristic features of pharming? (Select 3 answers),A. Domain hijacking B. Traffic redirection C. Fraudulent website D. Password attack E. Credential harvesting,"B. Traffic redirection, C. Fraudulent website, E. Credential harvesting"
"In social engineering, the term ""Elicitation"" describes the use of casual conversation to extract non-public information from people without giving them the feeling they are being interrogated.",A. True B. False,A. True
Which of the following is used in data URL phishing?,A. Prepending B. Typosquatting C. Pretexting D. Domain hijacking,A. Prepending
An organization has a policy in place that states the person who approves firewall controls/changes cannot be the one implementing the changes. Which of the following describes this policy?,A. Change management B. Job rotation C. Separation of duties D. Least privilege,C. Separation of duties
Which of the terms listed below refers to a platform used for watering hole attacks?,A. Mail gateways B. Websites C. PBX systems D. Web browsers,B. Websites
An attacker impersonates a company's managing staff member to manipulate a lower rank employee into disclosing confidential data. The attacker informs the victim that the information is essential for a task that needs to be completed within the business hours on the same day and mentions potential financial losses for the company in case the victim refuses to comply. Which social engineering principles apply to this attack scenario? (Select 3 answers),A. Urgency B. Familiarity C. Authority D. Consensus E. Intimidation F. Scarcity,"A. Urgency, C. Authority, E. Intimidation"
A Linux command-line command for displaying routing table contents is called:,A. print route B. netstat –r C. route print D. netstat -a,B. netstat –r
"A company has discovered unauthorized devices are using its WiFi network, and it wants to harden the access point to improve security. Which f the following configuration should an analysis enableTo improve security? (Select TWO.)",A. RADIUS B. PEAP C. WPS D. WEP-EKIP E. SSL F. WPA2-PSK,"A. RADIUS, F. WPA2-PSK "
"An attacker impersonating a software beta tester replies to a victim's post in a forum thread discussing the best options for affordable productivity software. A while later, he/she follows up by sending the victim private message mentioning the discussion thread and offering free access to a closed beta version of a fake office app. Which social engineering principles apply to this attack scenario? (Select 3 answers)",A. Authority B. Intimidation C. Consensus D. Scarcity E. Familiarity  F. Trust  G. Urgency,D. Scarcity E. Familiarity  F. Trust
"While conducting a web research that would help in making a better purchasing decision, a user visits series of Facebook pages and blogs containing fake reviews and testimonials in favor of a paid app intentionally infected with malware. Which social engineering principle applies to this attack scenario?",A. Scarcity B. Authority C. Consensus D. Intimidation E. Urgency,C. Consensus
Which of the following would be the BEST method to prevent the physical theft of staff laptops at an open-plan bank location with a high volume of customers each day?,A. Guards at the door B. Cable locks C. Visitor logs D. Cameras,B. Cable locks
During an incident a company CIRT determine it is necessary to observe the continued network-based transaction between a callback domain and the malware running on an enterprise PC. Which of the following techniques would be BEST to enable this activity while reducing the risk of lateral spread and the risk that the adversary would notice any changes?,A. Physical move the PC to a separate internet pint of presence B. Create and apply micro segmentation rules. C. Emulate the malware in a heavily monitored DMZ segment. D. Apply network blacklisting rules for the adversary domain,C. Emulate the malware in a heavily monitored DMZ segment.
Which cryptographic attack relies on the concepts of probability theory?,A. KPA B. Brute-force C. Dictionary D. Birthday ,D. Birthday 
One of the measures for bypassing the failed logon attempt account lockout policy is to capture any relevant data that might contain the password and brute force it offline.,A. True B. False ,A. True
Which password attack bypasses account-lockout policies?,A. Birthday attack B. Spraying attack C. Dictionary attack D. Replay attack ,B. Spraying attack
Which of the following environment utilizes dummy data and is MOST to be installed locally on a system that allows to be assessed directly and modified easily wit each build?,A. Production B. Test C. Staging D. Development,D. Development
